,IDfg,Name,Team,G,PA,OPS,Dol,Spd,Off,WAR,wRC+,Def,BsR
28,13301,Max Muncy,LAD,144,592,0.895,$39.0,3.6,32.1,4.9,140,-3.0,2.1
27,9166,Buster Posey,SFG,113,454,0.889,$39.5,1.5,20.4,4.9,140,13.8,-2.9
32,9218,Paul Goldschmidt,STL,158,679,0.879,$39.4,5.0,34.9,4.9,138,-8.2,2.3
65,19612,Bo Bichette,TOR,159,690,0.828,$39.1,6.0,25.2,4.9,122,0.2,6.9
23,18345,Kyle Tucker,HOU,140,567,0.917,$38.2,5.3,35.2,4.8,147,-6.8,2.4
33,17350,Rafael Devers,BOS,156,664,0.89,$37.3,3.2,27.6,4.7,134,-3.6,0.1
49,19197,Will Smith,LAD,130,501,0.86,$36.9,4.1,18.4,4.6,130,11.1,-1.0
26,5361,Freddie Freeman,ATL,159,695,0.896,$35.9,4.3,34.4,4.5,135,-12.6,3.3
56,13265,Mike Zunino,TBR,109,375,0.86,$36.2,3.7,16.1,4.5,134,16.3,0.6
77,17232,Yoan Moncada,CHW,144,616,0.787,$36.1,2.8,16.6,4.5,122,7.4,0.3
71,11493,Manny Machado,SDP,153,640,0.836,$35.2,4.7,15.8,4.4,122,6.9,-2.1
92,18036,Jake Cronenworth,SDP,152,643,0.8,$35.3,4.9,15.4,4.4,116,7.4,2.1
112,11739,J.T. Realmuto,PHI,134,537,0.782,$35.3,5.5,10.9,4.4,108,15.4,5.5
136,19339,Nicky Lopez,KCR,151,565,0.744,$34.9,7.1,12.6,4.4,106,11.7,8.2
84,15172,Tim Anderson,CHW,123,551,0.806,$34.3,5.8,19.6,4.3,120,4.5,6.1
